"name","gender","birthday","state","party","class","start","end"
"John Bankhead","M","1872-07-08","AL","Democrat",2,1931-12-07,1947-01-03
"Charles Brooks","M","1897-03-08","IL","Republican",2,1940-01-01,1949-01-03
"Clayton Buck","M","1890-03-21","DE","Republican",2,1943-01-06,1949-01-03
"Harlan Bushfield","M","1882-08-06","SD","Republican",2,1943-01-06,1948-09-27
"Arthur Capper","M","1865-07-14","KS","Republican",2,1919-05-19,1925-03-03
"Arthur Capper","M","1865-07-14","KS","Republican",2,1925-12-07,1931-03-03
"Arthur Capper","M","1865-07-14","KS","Republican",2,1931-12-07,1949-01-03
"Albert Chandler","M","1898-07-14","KY","Democrat",2,1939-10-10,1945-12-31
"Carter Glass","M","1858-01-04","VA","Democrat",2,1920-02-20,1925-03-03
"Carter Glass","M","1858-01-04","VA","Democrat",2,1925-12-07,1931-03-03
"Carter Glass","M","1858-01-04","VA","Democrat",2,1931-12-07,1946-05-28
"Carl Hatch","M","1889-11-27","NM","Democrat",2,1933-10-10,1949-01-03
"Albert Hawkes","M","1878-11-20","NJ","Republican",2,1943-01-06,1949-01-03
"Charles McNary","M","1874-06-12","OR","Republican",2,1917-05-29,1925-03-03
"Charles McNary","M","1874-06-12","OR","Republican",2,1925-12-07,1931-03-03
"Charles McNary","M","1874-06-12","OR","Republican",2,1931-12-07,1945-01-03
"Edward Moore","M","1871-11-19","OK","Republican",2,1943-01-06,1949-01-03
"Cameron Morrison","M","1869-10-05","NC","Democrat",3,1930-12-13,1933-03-03
"Wilbert O’Daniel","M","1890-03-11","TX","Democrat",2,1941-01-03,1949-01-03
"Edward Robertson","M","1881-05-27","WY","Republican",2,1943-01-06,1949-01-03
"Arthur Stewart","M","1892-01-11","TN","Democrat",2,1939-01-03,1949-01-03
"John Thomas","M","1874-01-04","ID","Republican",3,1928-06-30,1933-03-03
"John Thomas","M","1874-01-04","ID","Republican",2,1940-01-27,1945-12-31
"Arthur Walsh","M","1896-02-26","NJ","Democrat",1,1943-11-26,1945-01-03
"Wallace White","M","1877-08-06","ME","Republican",2,1931-12-07,1949-01-03
"George Wilson","M","1884-04-01","IA","Republican",2,1943-01-06,1949-01-03
"Wilton Hall","M","1901-03-11","SC","Democrat",3,1944-11-20,1945-01-03
"Samuel Jackson","M","1895-05-28","IN","Democrat",3,1944-01-28,1945-01-03
"Sinclair Weeks","M","1893-06-15","MA","Republican",2,1944-02-08,1945-01-03
"Frank Briggs","M","1894-02-25","MO","Democrat",1,1945-01-18,1947-01-03
"Berkeley Bunker","M","1906-08-12","NV","Democrat",1,1940-11-27,1943-01-03
"Edward Carville","M","1885-05-14","NV","Democrat",1,1945-07-25,1947-01-03
"Forrest Donnell","M","1884-08-20","MO","Republican",3,1945-01-03,1951-01-03
"Sheridan Downey","M","1884-03-11","CA","Democrat",3,1939-01-03,1951-01-03
"Charles Gossett","M","1888-09-02","ID","Democrat",2,1945-11-17,1947-01-03
"John Gurney","M","1896-05-21","SD","Republican",3,1939-01-03,1951-01-03
"Thomas Hart","M","1877-06-12","CT","Republican",1,1945-02-15,1947-01-03
"James Huffman","M","1894-09-13","OH","Democrat",1,1945-10-08,1947-01-03
"Scott Lucas","M","1892-02-19","IL","Democrat",3,1939-01-03,1951-01-03
"John Moses","M","1885-06-12","ND","Democrat",3,1945-01-03,1945-12-31
"Francis Myers","M","1901-12-18","PA","Democrat",3,1945-01-03,1951-01-03
"John Overton","M","1875-09-17","LA","Democrat",3,1933-03-09,1949-01-03
"Clyde Reed","M","1871-10-19","KS","Republican",3,1939-01-03,1949-11-08
"William Stanfill","M","1892-01-16","KY","Republican",2,1945-11-19,1947-01-03
"Glen Taylor","M","1904-04-12","ID","Democrat",3,1945-01-03,1951-01-03
"Elbert Thomas","M","1883-06-17","UT","Democrat",3,1933-03-09,1951-01-03
"John Thomas","M","1876-09-08","OK","Democrat",3,1927-12-05,1951-01-03
"Millard Tydings","M","1890-04-06","MD","Democrat",3,1927-12-05,1951-01-03
"Robert Wagner","M","1877-06-08","NY","Democrat",3,1927-12-05,1949-12-31
"Harry Truman","M","1884-05-08","MO","Democrat",1,1935-01-03,1945-12-31
"Raymond Baldwin","M","1893-08-31","CT","Republican",1,1946-01-01,1949-12-31
"Thomas Burch","M","1869-07-03","VA","Democrat",2,1946-05-31,1946-11-05
"Harry Cain","M","1906-01-10","WA","Republican",1,1946-12-31,1953-01-03
"George Swift","M","1887-12-19","AL","Democrat",2,1946-06-15,1947-01-03
"Kingsley Taft","M","1903-07-19","OH","Republican",1,1946-11-06,1947-01-03
"William Umstead","M","1895-05-13","NC","Democrat",2,1946-12-18,1949-01-03
"Ralph Brewster","M","1888-02-22","ME","Republican",1,1941-01-03,1953-01-03
"Thomas Connally","M","1877-08-19","TX","Democrat",1,1929-04-15,1953-01-03
"Zales Ecton","M","1898-04-01","MT","Republican",1,1947-01-03,1953-01-03
"James Kem","M","1890-04-02","MO","Republican",1,1947-01-03,1953-01-03
"Henry Lodge","M","1902-07-05","MA","Republican",2,1937-01-05,1945-01-03
"Henry Lodge","M","1902-07-05","MA","Republican",1,1947-01-03,1953-01-03
"Ernest McFarland","M","1894-10-09","AZ","Democrat",1,1941-01-03,1953-01-03
"James McGrath","M","1903-11-28","RI","Democrat",1,1947-01-03,1949-08-23
"Kenneth McKellar","M","1869-01-29","TN","Democrat",1,1917-04-02,1923-03-03
"Kenneth McKellar","M","1869-01-29","TN","Democrat",1,1923-12-03,1953-01-03
"Herbert O’Conor","M","1896-11-17","MD","Democrat",1,1947-01-03,1953-01-03
"John Robsion","M","1873-01-02","KY","Republican",2,1930-01-09,1931-03-03
"Arthur Vandenberg","M","1884-03-22","MI","Republican",1,1928-03-31,1951-04-18
"Joseph Broughton","M","1888-11-17","NC","Democrat",2,1948-12-31,1949-03-06
"Vera Bushfield","F","1889-08-09","SD","Republican",2,1948-10-06,1948-12-26
"William Feazel","M","1895-06-10","LA","Democrat",3,1948-05-18,1949-01-03
"William Benton","M","1900-04-01","CT","Democrat",1,1949-12-17,1953-01-03
"Virgil Chapman","M","1895-03-15","KY","Democrat",2,1949-01-03,1951-03-08
"Guy Cordon","M","1890-04-24","OR","Republican",2,1944-03-04,1955-01-03
"Harry Darby","M","1895-01-23","KS","Republican",3,1949-12-02,1951-01-03
"John Dulles","M","1888-02-25","NY","Republican",3,1949-07-07,1949-12-31
"Homer Ferguson","M","1889-02-25","MI","Republican",2,1943-01-06,1955-01-03
"Guy Gillette","M","1879-02-03","IA","Democrat",3,1936-01-01,1945-01-03
"Guy Gillette","M","1879-02-03","IA","Democrat",2,1949-01-03,1955-01-03
"Frank Graham","M","1886-10-14","NC","Democrat",2,1949-03-29,1951-01-03
"Robert Hendrickson","M","1898-08-12","NJ","Republican",2,1949-01-03,1955-01-03
"Lester Hunt","M","1892-07-08","WY","Democrat",2,1949-01-03,1954-06-19
"Edwin Johnson","M","1884-01-01","CO","Democrat",2,1937-01-05,1955-01-03
"Edward Leahy","M","1886-02-09","RI","Democrat",1,1949-08-24,1950-12-18
"Burnet Maybank","M","1899-03-07","SC","Democrat",2,1941-01-03,1955-01-03
"Bert Miller","M","1879-12-15","ID","Democrat",2,1949-01-03,1949-12-31
"James Wadsworth","M","1877-08-12","NY","Republican",3,1915-12-06,1927-03-04
"Kenneth Wherry","M","1892-02-28","NE","Republican",2,1943-01-06,1951-12-31
"Earle Clements","M","1896-10-22","KY","Democrat",3,1950-11-27,1957-01-03
"Willis Smith","M","1887-12-19","NC","Democrat",2,1950-01-01,1953-12-31
"James Duff","M","1883-01-21","PA","Republican",3,1951-01-03,1957-01-03
"Walter George","M","1878-01-29","GA","Democrat",3,1922-01-01,1927-03-04
"Walter George","M","1878-01-29","GA","Democrat",3,1927-12-05,1957-01-03
"Clyde Hoey","M","1877-12-11","NC","Democrat",3,1945-01-03,1955-01-03
"Herbert Lehman","M","1878-03-28","NY","Democrat",3,1949-01-03,1957-01-03
"Patrick McCarran","M","1876-08-08","NV","Democrat",3,1933-03-09,1954-08-28
"Brien McMahon","M","1903-10-06","CT","Democrat",3,1945-01-03,1953-01-03
"Eugene Millikin","M","1891-02-12","CO","Republican",3,1941-12-20,1957-01-03
"Hugh Mitchell","M","1907-03-22","WA","Democrat",1,1945-01-10,1946-12-25
"Arthur Moody","M","1902-02-13","MI","Democrat",1,1951-04-23,1953-01-03
"Frederick Seaton","M","1909-12-11","NE","Republican",2,1951-12-10,1953-01-03
"Robert Taft","M","1889-09-08","OH","Republican",3,1939-01-03,1953-12-31
"Charles Tobey","M","1880-07-22","NH","Republican",3,1939-01-03,1953-12-31
"Thomas Underwood","M","1898-03-03","KY","Democrat",2,1951-03-19,1952-11-04
"Herman Welker","M","1906-12-11","ID","Republican",3,1951-01-03,1957-01-03
"Dwight Griswold","M","1893-11-27","NE","Republican",2,1952-01-01,1955-01-03
"Charles Potter","M","1916-10-30","MI","Republican",1,1952-11-05,1959-01-03
"Frank Barrett","M","1892-11-10","WY","Republican",1,1953-01-03,1959-01-03
"John Bricker","M","1893-09-06","OH","Republican",1,1947-01-03,1959-01-03
"Thomas Burke","M","1898-10-30","OH","Democrat",3,1953-10-13,1955-01-03
"Hugh Butler","M","1878-02-28","NE","Republican",1,1941-01-03,1954-07-01
"Marion Daniel","M","1910-10-10","TX","Democrat",1,1953-01-03,1957-12-31
"Ralph Flanders","M","1880-09-28","VT","Republican",1,1946-11-01,1959-01-03
"Irving Ives","M","1896-01-24","NY","Republican",1,1947-01-03,1959-01-03
"William Jenner","M","1908-07-21","IN","Republican",3,1944-01-01,1945-01-03
"William Jenner","M","1908-07-21","IN","Republican",1,1947-01-03,1959-01-03
"Harley Kilgore","M","1893-01-11","WV","Democrat",1,1941-01-03,1957-01-03
"William Knowland","M","1908-06-26","CA","Republican",1,1945-08-14,1959-01-03
"William Langer","M","1886-09-30","ND","Republican",1,1941-01-03,1959-11-08
"George Malone","M","1890-08-07","NV","Republican",1,1947-01-03,1959-01-03
"Edward Martin","M","1879-09-18","PA","Republican",1,1947-01-03,1959-01-03
"Joseph McCarthy","M","1908-11-14","WI","Republican",1,1947-01-03,1957-12-31
"Frederick Payne","M","1904-07-24","ME","Republican",1,1953-01-03,1959-01-03
"William Purtell","M","1897-05-06","CT","Republican",3,1952-08-29,1953-01-03
"William Purtell","M","1897-05-06","CT","Republican",1,1953-01-03,1959-01-03
"Howard Smith","M","1880-01-30","NJ","Republican",1,1944-01-01,1959-01-03
"Edward Thye","M","1896-04-26","MN","Republican",1,1947-01-03,1959-01-03
"Robert Upton","M","1884-02-03","NH","Republican",3,1953-08-14,1955-01-03
"Arthur Watkins","M","1886-12-18","UT","Republican",1,1947-01-03,1959-01-03
"Garrett Withers","M","1884-06-21","KY","Democrat",3,1949-01-20,1950-11-26
"Hazel Abel","F","1888-07-10","NE","Republican",2,1954-01-01,1955-01-03
"George Bender","M","1896-09-29","OH","Republican",3,1954-01-01,1957-01-03
"Eva Bowring","F","1892-01-09","NE","Republican",2,1954-04-16,1955-01-03
"Ernest Brown","M","1903-09-25","NV","Republican",3,1954-10-01,1955-01-03
"Edward Crippa","M","1899-04-08","WY","Republican",2,1954-06-24,1955-01-03
"Charles Daniel","M","1895-11-11","SC","Democrat",2,1954-09-06,1955-01-03
"Joseph O’Mahoney","M","1884-11-05","WY","Democrat",1,1933-12-18,1953-01-03
"Joseph O’Mahoney","M","1884-11-05","WY","Democrat",2,1954-11-29,1961-01-03
"Samuel Reynolds","M","1890-08-11","NE","Republican",1,1954-07-03,1955-01-03
"William Scott","M","1896-04-17","NC","Democrat",2,1954-01-01,1959-01-03
"Alben Barkley","M","1877-11-24","KY","Democrat",3,1927-12-05,1949-01-19
"Alben Barkley","M","1877-11-24","KY","Democrat",2,1955-01-05,1956-04-30
"Henry Bridges","M","1898-09-09","NH","Republican",2,1937-01-05,1961-11-26
"Joseph Frear","M","1903-03-07","DE","Democrat",2,1949-01-03,1961-01-03
"Theodore Green","M","1867-10-02","RI","Democrat",2,1937-01-05,1961-01-03
"Thomas Martin","M","1893-01-18","IA","Republican",2,1955-01-05,1961-01-03
"James Murray","M","1876-05-03","MT","Democrat",2,1934-01-01,1961-01-03
"Matthew Neely","M","1874-11-09","WV","Democrat",1,1923-12-03,1929-03-03
"Matthew Neely","M","1874-11-09","WV","Democrat",2,1931-12-07,1941-12-31
"Matthew Neely","M","1874-11-09","WV","Democrat",2,1949-01-03,1958-01-18
"Richard Neuberger","M","1912-12-26","OR","Democrat",2,1955-01-05,1960-03-09
"Robert Humphreys","M","1893-08-20","KY","Democrat",2,1956-06-21,1957-01-03
"William Laird","M","1916-06-02","WV","Democrat",1,1956-03-13,1957-01-03
"William Revercomb","M","1895-07-20","WV","Republican",2,1943-01-06,1949-01-03
"William Revercomb","M","1895-07-20","WV","Republican",1,1956-01-01,1959-01-03
"Thomas Wofford","M","1908-09-27","SC","Democrat",2,1956-04-05,1957-01-03
"Prescott Bush","M","1895-05-15","CT","Republican",3,1952-01-01,1963-01-03
"John Butler","M","1897-07-21","MD","Republican",3,1951-01-03,1963-01-03
"Homer Capehart","M","1897-06-06","IN","Republican",3,1945-01-03,1963-01-03
"John Carroll","M","1901-07-30","CO","Democrat",3,1957-01-03,1963-01-03
"Francis Case","M","1896-12-09","SD","Republican",3,1951-01-03,1963-01-03
"Thomas Hennings","M","1903-06-25","MO","Democrat",3,1951-01-03,1960-09-13
"Alexander Wiley","M","1884-05-26","WI","Republican",3,1939-01-03,1963-01-03
"John Hoblitzell","M","1912-12-30","WV","Republican",2,1958-01-25,1959-01-03
"James Beall","M","1894-06-05","MD","Republican",1,1953-01-03,1965-01-03
"Clarence Brunsdale","M","1891-07-09","ND","Republican",1,1959-11-19,1961-01-03
"Harry Byrd","M","1887-06-10","VA","Democrat",1,1933-03-09,1965-01-03
"Dennis Chavez","M","1888-04-08","NM","Democrat",1,1935-05-11,1962-11-18
"Clair Engle","M","1911-09-21","CA","Democrat",1,1959-01-07,1965-01-03
"Kenneth Keating","M","1900-05-18","NY","Republican",1,1959-01-07,1965-01-03
"Oren Long","M","1889-03-04","HI","Democrat",3,1959-01-07,1963-01-03
"Hall Lusk","M","1883-09-21","OR","Democrat",2,1960-03-16,1961-01-03
"Maurine Neuberger","F","1907-01-09","OR","Democrat",2,1960-11-09,1967-01-03
"Benjamin Smith","M","1916-03-26","MA","Democrat",1,1960-12-27,1963-01-03
"William Blakley","M","1898-11-17","TX","Democrat",1,1957-01-15,1957-12-31
"William Blakley","M","1898-11-17","TX","Democrat",2,1961-01-03,1961-12-31
"Paul Douglas","M","1892-03-26","IL","Democrat",2,1949-01-03,1967-01-03
"Henry Dworshak","M","1894-08-29","ID","Republican",2,1946-01-01,1949-01-03
"Henry Dworshak","M","1894-08-29","ID","Republican",2,1949-10-14,1963-01-03
"John Hickey","M","1911-08-22","WY","Democrat",2,1961-01-03,1963-01-03
"Carey Kefauver","M","1903-07-26","TN","Democrat",2,1949-01-03,1963-12-31
"Robert Kerr","M","1896-09-11","OK","Democrat",2,1949-01-03,1963-12-31
"Patrick McNamara","M","1894-10-04","MI","Democrat",2,1955-01-05,1966-04-30
"Maurice Murphy","M","1927-10-03","NH","Republican",2,1961-12-07,1963-01-03
"Absalom Robertson","M","1887-05-27","VA","Democrat",2,1946-11-06,1967-01-03
"Leverett Saltonstall","M","1892-09-01","MA","Republican",2,1945-01-03,1967-01-03
"Andrew Schoeppel","M","1894-11-23","KS","Republican",2,1949-01-03,1962-01-21
"John Kennedy","M","1917-05-29","MA","Democrat",1,1953-01-03,1960-12-22
"Joseph Bottum","M","1903-08-07","SD","Republican",3,1962-07-09,1963-01-03
"Edwin Mechem","M","1912-07-02","NM","Republican",1,1962-11-30,1965-01-03
"Milward Simpson","M","1897-11-12","WY","Republican",2,1962-01-01,1967-01-03
"Daniel Brewster","M","1923-11-23","MD","Democrat",3,1963-01-09,1969-01-03
"Frank Carlson","M","1893-01-23","KS","Republican",3,1950-11-29,1969-01-03
"Joseph Clark","M","1901-10-21","PA","Democrat",3,1957-01-03,1969-01-03
"Everett Dirksen","M","1896-01-04","IL","Republican",3,1951-01-03,1969-01-03
"James Edmondson","M","1925-09-27","OK","Democrat",2,1963-01-09,1965-01-03
"Ernest Gruening","M","1887-02-06","AK","Democrat",3,1959-01-07,1969-01-03
"Carl Hayden","M","1877-10-02","AZ","Democrat",3,1927-12-05,1969-01-03
"Bourke Hickenlooper","M","1896-07-21","IA","Republican",3,1945-01-03,1969-01-03
"Joseph Hill","M","1894-12-29","AL","Democrat",3,1938-01-10,1969-01-03
"Olin Johnston","M","1896-11-18","SC","Democrat",3,1945-01-03,1965-12-31
"Thomas Kuchel","M","1910-08-15","CA","Republican",3,1953-01-03,1969-01-03
"Frank Lausche","M","1895-11-14","OH","Democrat",3,1957-01-03,1969-01-03
"Edward Long","M","1908-07-18","MO","Democrat",3,1960-09-23,1968-12-27
"Almer Monroney","M","1902-03-02","OK","Democrat",3,1951-01-03,1969-01-03
"Wayne Morse","M","1900-10-20","OR","Republican",3,1945-01-03,1951-01-03
"Wayne Morse","M","1900-10-20","OR","Independent",3,1951-01-03,1957-01-03
"Wayne Morse","M","1900-10-20","OR","Democrat",3,1957-01-03,1969-01-03
"Thruston Morton","M","1907-08-19","KY","Republican",3,1957-01-03,1968-12-16
"George Smathers","M","1913-11-14","FL","Democrat",3,1951-01-03,1969-01-03
"Herbert Walters","M","1891-11-17","TN","Democrat",2,1963-08-20,1965-01-03
"Lyndon Johnson","M","1908-08-27","TX","Democrat",2,1949-01-03,1961-01-03
"Ross Bass","M","1918-03-17","TN","Democrat",2,1964-11-04,1967-01-03
"Pierre Salinger","M","1925-06-14","CA","Democrat",1,1964-08-04,1965-01-03
"Thomas Dodd","M","1907-05-15","CT","Democrat",1,1959-01-07,1971-01-03
"Albert Gore","M","1907-12-26","TN","Democrat",1,1953-01-03,1971-01-03
"Spessard Holland","M","1892-07-10","FL","Democrat",1,1946-09-25,1971-01-03
"Robert Kennedy","M","1925-11-20","NY","Democrat",1,1965-01-04,1969-01-03
"Eugene McCarthy","M","1916-03-29","MN","Democrat",1,1959-01-07,1971-01-03
"George Murphy","M","1902-07-04","CA","Republican",1,1965-01-04,1971-01-03
"Winston Prouty","M","1906-09-01","VT","Republican",1,1959-01-07,1971-01-03
"Donald Russell","M","1906-02-22","SC","Democrat",3,1965-04-22,1967-01-03
"Joseph Tydings","M","1928-05-04","MD","Democrat",1,1965-01-04,1971-01-03
"John Williams","M","1904-05-17","DE","Republican",1,1947-01-03,1971-01-03
"Ralph Yarborough","M","1903-06-08","TX","Democrat",1,1957-01-03,1971-01-03
"Stephen Young","M","1889-05-04","OH","Democrat",1,1959-01-07,1971-01-03
"William Spong","M","1920-09-29","VA","Democrat",2,1966-12-31,1973-01-03
"Gordon Allott","M","1907-01-02","CO","Republican",2,1955-01-05,1973-01-03
"Clinton Anderson","M","1895-10-23","NM","Democrat",2,1949-01-03,1973-01-03
"Edward Bartlett","M","1904-04-20","AK","Democrat",2,1959-01-07,1968-12-11
"James Boggs","M","1909-05-15","DE","Republican",2,1961-01-03,1973-01-03
"John Cooper","M","1901-08-23","KY","Republican",2,1946-01-01,1949-01-03
"John Cooper","M","1901-08-23","KY","Republican",2,1952-01-01,1955-01-03
"John Cooper","M","1901-08-23","KY","Republican",2,1956-01-01,1973-01-03
"Allen Ellender","M","1890-09-24","LA","Democrat",2,1937-01-05,1972-07-27
"Fred Harris","M","1930-11-13","OK","Democrat",2,1964-01-01,1973-01-03
"Benjamin Jordan","M","1896-09-08","NC","Democrat",2,1958-04-19,1973-01-03
"Leonard Jordan","M","1899-05-15","ID","Republican",2,1962-08-06,1973-01-03
"Jack Miller","M","1916-06-06","IA","Republican",2,1961-01-03,1973-01-03
"Karl Mundt","M","1900-06-03","SD","Republican",2,1948-12-31,1973-01-03
"Richard Russell","M","1897-11-02","GA","Democrat",2,1933-03-09,1971-01-21
"Margaret Smith","F","1897-12-14","ME","Republican",2,1949-01-03,1973-01-03
"Marlow Cook","M","1926-07-27","KY","Republican",3,1968-12-17,1974-12-27
"Charles Goodell","M","1926-03-16","NY","Republican",1,1968-09-10,1971-01-03
"George Aiken","M","1892-08-20","VT","Republican",3,1941-01-03,1975-01-03
"Wallace Bennett","M","1898-11-13","UT","Republican",3,1951-01-03,1974-12-20
"Alan Bible","M","1909-11-20","NV","Democrat",3,1954-12-02,1974-12-17
"Peter Dominick","M","1915-07-07","CO","Republican",3,1963-01-09,1975-01-03
"Samuel Ervin","M","1896-09-27","NC","Democrat",3,1954-06-05,1975-01-03
"James Fulbright","M","1905-04-09","AR","Democrat",3,1945-01-03,1975-01-03
"Edward Gurney","M","1914-01-12","FL","Republican",3,1969-01-03,1975-01-03
"Harold Hughes","M","1922-02-10","IA","Democrat",3,1969-01-03,1975-01-03
"William Saxbe","M","1916-06-24","OH","Republican",3,1969-01-03,1974-01-03
"Ralph Smith","M","1915-10-06","IL","Republican",3,1969-09-17,1971-01-03
"Richard Nixon","M","1913-01-09","CA","Republican",3,1950-01-01,1953-12-31
"John Beall","M","1927-06-19","MD","Republican",1,1971-01-21,1977-01-03
"William Brock","M","1930-11-23","TN","Republican",1,1971-01-21,1977-01-03
"James Buckley","M","1923-03-09","NY","Conservative",1,1971-01-21,1977-01-03
"Paul Fannin","M","1907-01-29","AZ","Republican",1,1965-01-04,1977-01-03
"Hiram Fong","M","1906-10-15","HI","Republican",1,1959-01-07,1977-01-03
"David Gambrell","M","1929-12-20","GA","Democrat",2,1971-02-01,1973-01-03
"Philip Hart","M","1912-12-10","MI","Democrat",1,1959-01-07,1977-01-03
"Rupert Hartke","M","1919-05-31","IN","Democrat",1,1959-01-07,1977-01-03
"Roman Hruska","M","1904-08-16","NE","Republican",1,1954-11-08,1976-12-27
"Alton Lennon","M","1906-08-17","NC","Democrat",2,1953-07-10,1955-01-03
"Michael Mansfield","M","1903-03-16","MT","Democrat",1,1953-01-03,1977-01-03
"Gale McGee","M","1915-03-17","WY","Democrat",1,1959-01-07,1977-01-03
"Joseph Montoya","M","1915-09-24","NM","Democrat",1,1964-11-04,1977-01-03
"Frank Moss","M","1911-09-23","UT","Democrat",1,1959-01-07,1977-01-03
"John Pastore","M","1907-03-17","RI","Democrat",1,1950-12-19,1976-12-28
"Hugh Scott","M","1900-11-11","PA","Republican",1,1959-01-07,1977-01-03
"William Symington","M","1901-06-26","MO","Democrat",1,1953-01-03,1976-12-27
"Robert Taft","M","1917-02-26","OH","Republican",1,1971-01-21,1976-12-28
"John Tunney","M","1934-06-26","CA","Democrat",1,1971-01-21,1977-01-03
"Elaine Edwards","F","1929-03-08","LA","Democrat",2,1972-08-01,1972-11-13
"James Abourezk","M","1931-02-24","SD","Democrat",2,1973-01-03,1979-01-03
"Dewey Bartlett","M","1919-03-28","OK","Republican",2,1973-01-03,1979-01-03
"Edward Brooke","M","1919-10-26","MA","Republican",2,1967-01-10,1979-01-03
"Clifford Case","M","1904-04-16","NJ","Republican",2,1955-01-05,1979-01-03
"Richard Clark","M","1928-09-14","IA","Democrat",2,1973-01-03,1979-01-03
"Carl Curtis","M","1905-03-15","NE","Republican",2,1955-01-05,1979-01-03
"James Eastland","M","1904-11-28","MS","Democrat",2,1941-06-30,1941-12-31
"James Eastland","M","1904-11-28","MS","Democrat",2,1943-01-06,1979-01-03
"Robert Griffin","M","1923-11-06","MI","Republican",2,1966-05-11,1979-01-03
"Clifford Hansen","M","1912-10-16","WY","Republican",2,1967-01-10,1979-01-03
"Floyd Haskell","M","1916-02-07","CO","Democrat",2,1973-01-03,1979-01-03
"William Hathaway","M","1924-02-21","ME","Democrat",2,1973-01-03,1979-01-03
"John McClellan","M","1896-02-25","AR","Democrat",2,1943-01-06,1977-12-31
"Thomas McIntyre","M","1915-02-20","NH","Democrat",2,1962-01-01,1979-01-03
"Lee Metcalf","M","1911-01-28","MT","Democrat",2,1961-01-03,1978-01-12
"Walter Mondale","M","1928-01-05","MN","Democrat",2,1964-12-30,1976-12-30
"James Pearson","M","1920-05-07","KS","Republican",2,1962-01-31,1978-12-23
"William Scott","M","1915-07-01","VA","Republican",2,1973-01-03,1979-01-03
"John Sparkman","M","1899-12-20","AL","Democrat",2,1946-11-06,1979-01-03
"Louis Wyman","M","1917-03-16","NH","Republican",3,1974-12-31,1975-01-03
"James Allen","M","1912-12-28","AL","Democrat",3,1969-01-03,1978-06-01
"Birch Bayh","M","1928-01-22","IN","Democrat",3,1963-01-09,1981-01-03
"Henry Bellmon","M","1921-09-03","OK","Republican",3,1969-01-03,1981-01-03
"Frank Church","M","1924-07-25","ID","Democrat",3,1957-01-03,1981-01-03
"Norris Cotton","M","1900-05-11","NH","Republican",3,1954-11-08,1974-12-31
"Norris Cotton","M","1900-05-11","NH","Republican",3,1975-08-08,1975-09-18
"John Culver","M","1932-08-08","IA","Democrat",3,1975-01-14,1981-01-03
"John Durkin","M","1936-03-29","NH","Democrat",3,1975-09-18,1980-12-29
"Maurice Gravel","M","1930-05-13","AK","Democrat",3,1969-01-03,1981-01-03
"Jacob Javits","M","1904-05-18","NY","Republican",3,1957-01-03,1981-01-03
"Warren Magnuson","M","1905-04-12","WA","Democrat",3,1944-12-14,1981-01-03
"George McGovern","M","1922-07-19","SD","Democrat",3,1963-01-09,1981-01-03
"Robert Morgan","M","1925-10-05","NC","Democrat",3,1975-01-14,1981-01-03
"Gaylord Nelson","M","1916-06-04","WI","Democrat",3,1963-01-09,1981-01-03
"Abraham Ribicoff","M","1910-04-09","CT","Democrat",3,1963-01-09,1981-01-03
"Richard Schweiker","M","1926-06-01","PA","Republican",3,1969-01-03,1981-01-03
"Adlai Stevenson","M","1930-10-10","IL","Democrat",3,1970-01-01,1981-01-03
"Richard Stone","M","1928-09-22","FL","Democrat",3,1975-01-14,1981-01-03
"Herman Talmadge","M","1913-08-09","GA","Democrat",3,1957-01-03,1981-01-03
"Milton Young","M","1897-12-06","ND","Republican",3,1945-03-12,1981-01-03
"Wendell Anderson","M","1933-02-01","MN","Democrat",2,1976-12-30,1978-12-29
"Harry Byrd","M","1914-12-20","VA","Democrat",1,1965-11-12,1971-01-03
"Harry Byrd","M","1914-12-20","VA","Independent",1,1971-01-21,1983-01-03
"Howard Cannon","M","1912-01-26","NV","Democrat",1,1959-01-07,1983-01-03
"Samuel Hayakawa","M","1906-07-18","CA","Republican",1,1977-01-04,1983-01-03
"Kaneaster Hodges","M","1938-08-20","AR","Democrat",2,1977-12-10,1979-01-03
"Hubert Humphrey","M","1911-05-27","MN","Democrat",2,1949-01-03,1964-12-29
"Hubert Humphrey","M","1911-05-27","MN","Democrat",1,1971-01-21,1978-01-13
"Edmund Muskie","M","1914-03-28","ME","Democrat",1,1959-01-07,1981-01-03
"Harrison Schmitt","M","1935-07-03","NM","Republican",1,1977-01-04,1983-01-03
"Harrison Williams","M","1919-12-10","NJ","Democrat",1,1959-01-07,1982-03-11
"Maryon Allen","F","1925-11-30","AL","Democrat",3,1978-06-08,1978-11-07
"Paul Hatfield","M","1928-04-29","MT","Democrat",2,1978-01-22,1978-12-14
"Muriel Humphrey","F","1912-02-20","MN","Democrat",1,1978-01-25,1978-11-07
"Donald Stewart","M","1940-02-08","AL","Democrat",3,1978-11-08,1981-01-03
"Howard Baker","M","1925-11-15","TN","Republican",2,1967-01-10,1985-01-03
"Walter Huddleston","M","1926-04-15","KY","Democrat",2,1973-01-03,1985-01-03
"Roger Jepsen","M","1928-12-23","IA","Republican",2,1979-01-15,1985-01-03
"Charles Percy","M","1919-09-27","IL","Republican",2,1967-01-10,1985-01-03
"Jennings Randolph","M","1902-03-08","WV","Democrat",2,1958-11-05,1985-01-03
"John Tower","M","1925-09-29","TX","Republican",2,1961-01-03,1985-01-03
